Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1504012017,3,Unclassified,cost_deviation_by_category,0.6667,2,Tanjung Putra
1502232012,2,T1_Markup,cost_deviation_by_category,0.6667,2,Baru Kibul
1502232014,2,T2_Ghost,avg_completion,0.6667,2,Air Liki Baru
1502242001,2,Unclassified,cost_deviation_by_category,0.6667,2,Sekancing
1502242003,3,T1_Markup,activity_category,0.6667,2,Beringin Sanggul
1502242004,4,T1_Markup,activity_category,0.6667,2,Baru Bukit Punjung
1502242005,2,Unclassified,avg_completion,0.6667,2,Rantau Limau Kapas
1502242006,2,Unclassified,avg_completion,0.6667,2,Baru Sungai Sakai
1503012002,3,T1_Markup,avg_completion,0.6667,2,Sungai Keradak
1503012003,2,Unclassified,avg_completion,0.6667,2,Muaro Air Dua
1503012017,2,T1_Markup,avg_completion,0.6667,2,Sungai Baung
1503012020,3,T1_Markup,activity_category,0.6667,2,Kasiro Hilir
1503022008,2,T1_Markup,activity_category,0.6667,2,Panca Karya
1503022016,3,Unclassified,cost_per_unit,0.6667,2,Moenti
1504022004,5,T1_Markup,activity_category,0.6667,2,Ampelu
1504022005,4,T1_Markup,cost_per_unit,0.6667,2,Rambutan Masam
1504022006,3,T7_CrossCatDump,activity_category,0.6667,2,Rantau Kapas Mudo
1502202001,3,T2_Ghost,avg_completion,0.6667,2,Tambang Emas
1502212004,4,T7_CrossCatDump,activity_category,0.6667,2,Sido Rukun
1502222001,3,Unclassified,swakelola_high_value,0.6667,2,Tambang Baru
1502222003,3,Unclassified,activity_category,0.6667,2,Mensango
1502222004,4,T7_CrossCatDump,avg_completion,0.6667,2,Koto Baru
1502222005,3,T2_Ghost,cost_per_unit,0.6667,2,Sido Harjo
1502232002,2,Unclassified,avg_completion,0.6667,2,Tanjung Putus
1504032016,5,T1_Markup,cost_deviation_by_category,0.6667,2,Bajubang Laut
1504042004,3,Unclassified,avg_completion,0.6667,2,Aur Gading
1504042006,3,Unclassified,cost_deviation_by_category,0.6667,2,Hajran
1504042008,2,Unclassified,cost_per_unit,0.6667,2,Jangga
1504042009,5,Unclassified,cost_deviation_by_category,0.6667,2,Koto Boyo
1504042010,3,T1_Markup,cost_per_unit,0.6667,2,Simpang Karmeo
1504042016,2,T1_Markup,avg_completion,0.6667,2,Simpang Jelutih
1504052001,4,T2_Ghost,cost_deviation_by_category,0.6667,2,Tebing Tinggi
1502232005,2,T1_Markup,activity_category,0.6667,2,Sungai Tabir
1504062016,2,T1_Markup,activity_category,0.6667,2,Mekar Sari
1504052005,3,Unclassified,activity_category,0.6667,2,Kuap
1504052007,5,T1_Markup,cost_per_unit,0.6667,2,Kubu Kandang
1504052010,2,Unclassified,activity_category,0.6667,2,Lopak Aur
1504052013,2,T1_Markup,activity_category,0.6667,2,Pulau Raman
1504052019,5,Unclassified,activity_category,0.6667,2,Teluk Ketapang
1504052020,2,Unclassified,avg_completion,0.6667,2,Kampung Pulau
1504062002,5,T1_Markup,avg_completion,0.6667,2,Peninjauan
1504062004,6,T1_Markup,cost_deviation_by_category,0.6667,2,Kampung Baru
1504062005,2,T1_Markup,cost_deviation_by_category,0.6667,2,Rengas IX
1502172008,2,T2_Ghost,avg_completion,0.6667,2,Tanjung Mudo
1502182004,2,T7_CrossCatDump,avg_completion,0.6667,2,Talang Tembago
1502182005,2,T1_Markup,avg_completion,0.6667,2,Beringin Tinggi
1502182007,3,T7_CrossCatDump,cost_per_unit,0.6667,2,Rantau Suli
1502192002,3,T1_Markup,activity_category,0.6667,2,Bukit Bungkul
1502192004,2,T2_Ghost,avg_completion,0.6667,2,Lantak Seribu
1502132002,2,T1_Markup,avg_completion,0.6667,2,Limbur Merangin
1502132003,3,Unclassified,activity_category,0.6667,2,Karang Anyar
1502132004,2,T7_CrossCatDump,avg_completion,0.6667,2,Pinang Merah
1502132008,2,T2_Ghost,avg_completion,0.6667,2,PulauTujuh
1502152003,4,T7_CrossCatDump,avg_completion,0.6667,2,Sri Sembilan
1502162003,2,T1_Markup,activity_category,0.6667,2,Durian Batakuk
1502162004,2,Unclassified,avg_completion,0.6667,2,Muara Bantan
1502162010,3,Unclassified,activity_category,0.6667,2,Renah Medan
1502162012,3,Unclassified,avg_completion,0.6667,2,Muaro Panco Timur
1502172001,2,T1_Markup,activity_category,0.6667,2,Baru Pangkalan Jambu
1502172002,2,T1_Markup,cost_deviation_by_category,0.6667,2,Bukit Perentak
1502172005,2,T1_Markup,activity_category,0.6667,2,Bungo Tanjung
1504062008,2,T1_Markup,avg_completion,0.6667,2,Tebing Tinggi
1504062009,4,T1_Markup,swakelola_high_value,0.6667,2,Olak Kemang
1504062010,4,T1_Markup,avg_completion,0.6667,2,Padang Kelapo
1504062012,2,T2_Ghost,activity_category,0.6667,2,Sungai Ruan Ulu
1505062005,3,Unclassified,avg_completion,0.6667,2,Kasang Pudak
